2025-02-19 02:23:28,484.59,g
2025-02-19 02:23:29,484.60,g
2025-02-19 02:23:30,484.64,g
2025-02-19 02:23:31,484.56,g
2025-02-19 02:23:32,484.56,g
2025-02-19 02:23:34,484.58,g
2025-02-19 02:23:35,484.58,g
2025-02-19 02:23:35,484.60,g
2025-02-19 02:23:53,964.93,g
2025-02-19 02:23:53,964.93,g
2025-02-19 02:23:54,964.89,g
2025-02-19 02:23:55,964.85,g
2025-02-19 02:23:56,964.64,g
2025-02-19 02:23:57,964.88,g
2025-02-19 02:23:57,965.02,g
2025-02-19 02:23:58,964.92,g
2025-02-19 02:23:23,-0.06,g
2025-02-19 02:23:23,3.75,g
2025-02-19 02:23:24,9.21,g
2025-02-19 02:23:24,15.40,g
2025-02-19 02:23:25,19.22,g
2025-02-19 02:23:26,26.43,g
